ensg	name	MEF	OSK iCD1 D0	OSK iCD1 D1	OSK iCD1 D3	OSK iCD1 D5	OSK iCD1 D8	OSK iCD1 D10	ESC 2iLIF
ENSMUSG00000023571	C1qtnf12	216.0	164.5	112.0	132.5	69.0	37.5	58.5	37.5
ENSMUSG00000083679	Gm12892	85.0	109.5	106.5	175.5	268.0	224.5	286.0	97.0
ENSMUSG00000054455	Vapb	1241.0	1342.5	1357.5	1227.0	967.5	736.5	723.5	545.5
ENSMUSG00000066621	Tecpr1	200.0	578.5	759.0	766.5	613.5	265.0	372.0	782.0
ENSMUSG00000006304	Arpc2	5091.0	4559.0	4570.5	3649.0	2667.5	2318.0	2360.5	1497.0
ENSMUSG00000001829	Clpb	517.0	604.5	403.5	370.0	403.0	517.0	413.0	1458.0
ENSMUSG00000048240	Gng7	12.0	77.5	19.5	39.0	21.5	15.0	38.5	42.5
ENSMUSG00000019942	Cdk1	1530.0	633.5	1000.5	490.0	810.5	1636.5	1309.0	1443.5
ENSMUSG00000092545	Gm20319	12.0	28.0	45.0	45.0	68.0	14.5	20.5	2.5
ENSMUSG00000022475	Hdac7	1235.0	1263.0	563.0	590.5	378.0	255.5	673.5	265.0
ENSMUSG00000022514	Il1rap	169.0	213.5	409.5	480.5	857.0	138.0	218.0	28.5
ENSMUSG00000020255	D10Wsu102e	773.0	662.0	707.0	610.0	688.5	2595.0	1172.0	838.0
ENSMUSG00000066735	Vkorc1l1	514.0	467.5	391.5	317.5	352.5	550.5	605.0	953.5
ENSMUSG00000020256	Aldh1l2	683.0	1450.0	205.5	88.0	123.0	161.0	216.0	143.5
ENSMUSG00000020020	Usp44	7.0	13.0	16.5	12.0	5.0	24.5	24.0	125.0
ENSMUSG00000082127	Gm13577	198.0	43.5	30.0	27.0	24.5	82.0	61.5	147.5
ENSMUSG00000050796	B3galt6	96.0	53.5	93.0	112.0	89.5	62.5	46.0	83.0
ENSMUSG00000027134	Lpcat4	558.0	713.0	583.5	536.5	784.0	606.0	402.0	217.5
ENSMUSG00000026456	Cyb5r1	1025.0	933.0	728.0	530.0	690.0	829.0	654.5	1532.5
ENSMUSG00000082519	Vamp7-ps	123.0	173.5	159.0	152.5	169.0	159.0	143.0	65.0
ENSMUSG00000005204	Senp3	1209.0	881.0	1056.5	1144.5	1094.0	1896.5	1557.5	2016.0
ENSMUSG00000032462	Pik3cb	204.0	365.0	283.5	258.5	316.0	358.5	341.5	393.0
ENSMUSG00000019894	Slc6a15	487.0	425.5	375.0	265.0	231.5	294.5	300.0	506.0
ENSMUSG00000024613	Tcof1	1140.0	439.0	623.0	475.5	723.5	1632.5	1127.0	3036.5
ENSMUSG00000047264	Zfp358	350.0	464.5	324.0	496.0	377.0	283.5	351.5	190.0
ENSMUSG00000066647	Gm5113	23.0	79.0	31.5	33.5	39.0	27.0	44.5	97.5
ENSMUSG00000027522	Stx16	635.0	870.5	748.5	914.0	874.5	757.5	625.5	506.5
ENSMUSG00000054733	Msra	190.0	101.5	116.0	115.0	97.0	77.0	103.5	187.5
ENSMUSG00000056698	Elmod3	94.0	155.0	134.5	145.0	157.0	127.0	110.5	137.5
ENSMUSG00000113625	AC121872.2	335.0	169.0	134.5	114.0	99.0	195.0	212.0	86.0
ENSMUSG00000026388	3110009E18Rik	54.0	32.0	29.0	18.0	30.0	20.5	21.0	75.0
ENSMUSG00000031684	Slc10a7	349.0	382.0	232.0	261.5	282.0	373.0	209.0	384.5
ENSMUSG00000079469	Pigb	150.0	226.0	187.5	214.5	211.0	220.5	201.0	212.5
ENSMUSG00000006289	Osgep	536.0	420.0	294.5	345.0	344.5	370.0	357.0	606.5
ENSMUSG00000035683	Melk	464.0	185.5	333.0	138.0	185.0	457.0	324.0	884.5
ENSMUSG00000020101	Vsir	15.0	85.0	30.5	117.0	45.5	12.5	52.5	2.5
ENSMUSG00000086894	Gm15708	8.0	12.0	17.5	19.0	19.0	82.0	44.0	8.0
ENSMUSG00000022829	Stxbp5l	85.0	0.0	131.0	125.0	190.0	157.0	209.5	182.5
ENSMUSG00000029076	Sdf4	1718.0	1731.0	1604.0	1804.5	1568.0	1310.5	1471.5	1149.0
ENSMUSG00000038859	Baiap2l1	163.0	190.0	254.5	207.5	184.5	1244.0	684.5	119.0
ENSMUSG00000038932	Tcfl5	191.0	210.5	284.0	193.0	108.0	73.0	58.5	196.0
ENSMUSG00000042118	Bhmt2	0.0	0.0	0.5	6.5	234.0	399.5	80.0	193.5
ENSMUSG00000053475	Tnfaip6	147.0	47.0	74.5	87.0	30.0	13.5	67.5	24.0
ENSMUSG00000098332	2310009A05Rik	57.0	39.0	30.5	23.5	27.5	24.5	24.5	47.5
ENSMUSG00000110360	Gm45380	145.0	17.5	12.5	35.0	29.5	112.5	109.0	5.0
ENSMUSG00000047843	Bri3	458.0	332.0	399.0	366.5	314.5	195.5	238.0	890.5
ENSMUSG00000025534	Gusb	904.0	771.5	1214.5	1227.5	812.0	434.5	400.5	476.5
ENSMUSG00000034563	Ccpg1	140.0	309.5	171.0	258.0	220.0	175.5	173.0	220.5
ENSMUSG00000015357	Clpx	404.0	344.5	324.0	342.5	325.0	386.0	389.5	331.5
ENSMUSG00000032076	Cadm1	63.0	116.0	48.5	30.5	106.5	202.0	445.5	433.0
ENSMUSG00000028558	Calr4	0.0	32.5	6.0	14.5	5.5	93.0	9.0	155.0
ENSMUSG00000026888	Grb14	862.0	1193.5	433.0	252.5	197.0	22.5	43.5	18.5
ENSMUSG00000021222	Dcaf4	220.0	219.0	267.5	400.5	216.5	340.0	244.5	695.5
ENSMUSG00000074218	Cox7a1	7.0	3.5	4.5	5.0	13.0	94.0	16.0	201.0
ENSMUSG00000028031	Dkk2	497.0	612.0	192.5	805.5	1258.0	143.5	404.0	1.0
ENSMUSG00000032489	Kif9	10.0	54.0	27.5	24.5	32.0	24.0	46.0	25.5
ENSMUSG00000020747	Tmem94	238.0	411.0	315.0	556.0	954.0	786.5	777.5	1002.5
ENSMUSG00000026229	Psmd1	2815.0	2038.0	2958.0	1995.5	2226.5	2921.0	2127.0	3226.5
ENSMUSG00000028838	Extl1	0.0	11.5	3.5	0.5	1.0	9.0	3.5	210.5
ENSMUSG00000038914	Dido1	661.0	966.5	1162.5	1422.0	1423.0	2160.5	2443.0	1363.5
ENSMUSG00000028044	Cks1b	1370.0	475.0	664.0	325.0	362.5	658.0	523.0	898.5
ENSMUSG00000107383	Gm4366	958.0	851.5	739.5	442.0	376.5	621.5	561.0	447.0
ENSMUSG00000039263	Npepl1	814.0	862.0	980.0	1075.5	895.5	518.0	561.0	556.5
ENSMUSG00000040312	Cchcr1	378.0	206.5	355.5	284.5	292.5	290.5	304.0	551.0
ENSMUSG00000031292	Cdkl5	50.0	110.5	73.5	65.0	49.0	49.0	94.0	109.0
ENSMUSG00000001930	Vwf	4.0	7.0	25.5	30.0	8.0	22.5	38.0	1035.0
ENSMUSG00000036214	Znrd1as	71.0	40.0	28.0	20.0	32.5	31.0	44.5	108.5
ENSMUSG00000059658	Gm16379	105.0	11.0	32.5	5.5	20.5	94.0	109.5	9.5
ENSMUSG00000087260	Lamtor5	466.0	279.0	311.5	227.5	269.0	252.5	223.5	445.0
ENSMUSG00000094638	Gm21972	490.0	237.5	317.5	239.0	182.0	238.5	192.0	305.0
ENSMUSG00000028426	Rad23b	4470.0	3933.0	3734.5	3187.0	3737.5	4036.0	3482.5	5956.0
ENSMUSG00000020381	Mrnip	39.0	46.0	36.0	29.5	56.5	46.5	46.0	185.0
ENSMUSG00000062590	Armc9	230.0	176.5	188.5	240.0	192.5	188.0	189.5	230.0
ENSMUSG00000089865	Gm44503	185.0	381.0	209.5	311.5	263.0	222.5	216.5	238.5
ENSMUSG00000034312	Iqsec1	477.0	1124.0	666.0	834.0	607.5	244.0	662.0	363.5
ENSMUSG00000073771	Btbd19	213.0	232.5	364.5	486.5	387.0	351.5	137.0	478.0
ENSMUSG00000033703	Fuk	244.0	365.0	268.5	267.5	290.5	417.5	302.0	613.0
ENSMUSG00000086158	Ccpg1os	49.0	52.5	19.5	25.0	25.5	29.5	40.0	82.0
ENSMUSG00000015837	Sqstm1	2907.0	3355.5	7858.5	5892.0	7384.5	4030.0	3841.0	2538.5
ENSMUSG00000004567	Mcoln1	447.0	386.0	755.0	858.0	948.5	595.5	635.5	579.0
ENSMUSG00000083534	H2-M6-ps	0.0	0.0	1.0	11.0	162.0	371.5	74.5	349.5
ENSMUSG00000087334	AW495222	0.0	0.0	0.0	1.0	55.5	118.5	23.5	85.0
ENSMUSG00000043857	Mgat5b	0.0	0.0	3.0	3.5	0.5	10.0	12.5	252.5
ENSMUSG00000042102	Dmgdh	0.0	0.0	1.5	6.5	465.0	1157.5	183.0	442.5
ENSMUSG00000000276	Dgke	114.0	150.5	107.0	193.0	94.0	216.0	170.5	308.5
ENSMUSG00000000339	Rtca	887.0	416.0	671.5	437.5	459.0	508.5	425.5	529.0
ENSMUSG00000054400	Cklf	167.0	162.0	194.0	144.5	179.0	218.5	164.0	246.0
ENSMUSG00000031657	Heatr3	981.0	512.5	681.5	556.0	610.0	845.0	640.5	564.5
ENSMUSG00000042626	Shc1	1512.0	1734.0	1651.0	1786.0	1358.5	1377.0	1779.5	1616.5
ENSMUSG00000025351	Cd63	6126.0	3430.0	7858.5	6143.5	6187.0	3533.0	3390.0	1785.5
ENSMUSG00000034471	Caskin2	332.0	503.0	457.5	519.5	607.0	493.5	629.5	553.0
ENSMUSG00000027164	Traf6	215.0	303.5	366.0	496.5	371.0	407.5	364.0	246.5
ENSMUSG00000107999	Gm44123	21.0	159.5	100.5	163.0	99.5	23.5	58.5	54.5
ENSMUSG00000034551	Hdx	402.0	403.5	389.0	353.0	366.5	449.5	422.0	211.5
ENSMUSG00000011877	Git1	1054.0	955.5	1546.0	1398.5	1232.0	989.0	1083.5	1592.0
ENSMUSG00000026389	Steap3	398.0	188.0	705.5	969.5	252.5	133.0	94.5	549.5
ENSMUSG00000033222	Ttf2	457.0	449.0	525.0	387.5	463.0	683.5	527.5	1455.5
ENSMUSG00000053950	Adnp2	420.0	508.5	425.0	351.0	347.5	609.0	558.0	926.0
ENSMUSG00000025949	Pikfyve	887.0	1062.5	1151.0	1179.5	1224.0	1337.5	1343.0	1552.0
ENSMUSG00000040466	Blvrb	314.0	634.5	385.5	316.0	208.0	241.5	480.5	798.5
ENSMUSG00000027896	Slc16a4	67.0	72.0	26.0	71.0	10.0	32.5	69.0	62.0
ENSMUSG00000029422	Rsrc2	933.0	514.0	575.5	618.0	675.5	1187.0	1235.0	913.0
ENSMUSG00000030306	Tmtc1	28.0	58.0	37.5	97.5	30.0	21.0	89.0	115.0
ENSMUSG00000057455	Rit2	85.0	0.0	72.0	36.5	16.5	0.0	0.0	157.5
ENSMUSG00000027523	Gnas	4721.0	6860.0	6083.0	4644.0	3400.5	1388.0	2840.5	771.5
ENSMUSG00000029836	Cbx3	1476.0	666.0	535.5	545.5	739.0	1392.0	1166.5	1276.0
ENSMUSG00000032235	Ice2	175.0	143.0	132.0	104.0	123.0	206.5	171.0	221.0
ENSMUSG00000034520	Gjc1	533.0	225.5	204.5	86.5	45.5	240.0	357.0	682.0
ENSMUSG00000086844	B230206H07Rik	34.0	28.5	44.5	72.0	16.5	29.5	48.0	53.0
ENSMUSG00000059991	Nptx2	92.0	38.0	22.5	16.0	4.5	179.0	756.5	677.5
ENSMUSG00000025504	Eps8l2	135.0	159.5	186.0	263.0	119.0	196.5	290.5	241.0
ENSMUSG00000043388	Tmem130	2.0	0.0	4.0	8.5	56.0	54.0	35.0	13.5
ENSMUSG00000060743	H3f3a	3861.0	3107.0	1988.0	2262.0	2934.5	5419.0	5792.0	3099.0
ENSMUSG00000057130	Txnl4a	520.0	613.0	851.0	730.0	666.5	436.0	398.0	651.5
ENSMUSG00000036202	Rif1	282.0	282.0	392.0	372.0	1020.0	3683.0	3081.5	858.5
ENSMUSG00000024571	Gm16286	1668.0	1645.5	2260.5	1838.0	1863.5	1611.0	1403.0	1090.5
ENSMUSG00000033964	Zbtb41	855.0	968.5	1210.5	1045.0	1034.0	697.5	969.0	524.0
ENSMUSG00000075707	Dio3	12.0	5.0	3.0	79.5	79.0	386.0	45.5	59.5
ENSMUSG00000044791	Setd2	1099.0	1142.5	1114.0	1561.0	1022.0	1878.5	1806.5	569.0
ENSMUSG00000063171	Rps4l	588.0	494.5	959.5	964.5	1076.5	1858.5	1167.5	4223.5
ENSMUSG00000075704	Txnrd2	173.0	156.0	145.0	117.5	124.0	104.5	63.5	116.0
ENSMUSG00000008333	Snrpb2	712.0	360.0	278.5	226.5	294.0	586.5	422.0	568.0
ENSMUSG00000046822	Slc39a3	300.0	485.0	426.0	474.0	507.5	241.0	323.5	213.0
ENSMUSG00000037523	Mavs	291.0	531.5	812.0	703.5	852.5	743.0	604.5	748.5
ENSMUSG00000026585	Kifap3	842.0	983.5	495.5	496.5	308.0	305.0	337.0	674.0
ENSMUSG00000056666	Retsat	198.0	196.5	205.0	224.0	195.5	150.5	136.5	307.5
ENSMUSG00000030657	Xylt1	126.0	172.0	388.0	363.5	145.5	87.0	184.5	91.5
ENSMUSG00000113753	AC156576.4	221.0	61.5	66.0	50.0	71.0	127.0	97.0	3.0
ENSMUSG00000032852	Rspo4	0.0	0.0	17.0	213.5	62.5	10.0	3.0	0.0
ENSMUSG00000113198	AL591207.1	760.0	145.5	158.0	135.0	133.0	539.0	618.0	47.5
ENSMUSG00000030123	Plxnd1	363.0	568.0	702.0	642.0	213.0	66.0	256.5	101.5
ENSMUSG00000041775	Mapk1ip1	95.0	132.5	104.5	123.0	138.0	125.0	123.5	180.0
ENSMUSG00000001630	Stk38l	311.0	362.0	626.5	555.0	441.5	393.5	475.0	251.0
ENSMUSG00000028779	Pef1	700.0	769.5	493.5	477.0	428.0	395.5	381.5	589.5
ENSMUSG00000003154	Foxj2	269.0	404.0	312.5	347.5	435.0	235.0	270.0	178.0
ENSMUSG00000041769	Ppp2r2d	600.0	343.0	576.5	457.5	517.0	602.0	509.5	1210.5
ENSMUSG00000047407	Tgif1	726.0	572.5	557.0	304.0	255.5	686.0	594.0	1118.5
ENSMUSG00000027573	Gid8	559.0	419.5	407.0	433.0	409.0	556.0	506.0	606.5
ENSMUSG00000048109	Rbm15	170.0	192.0	219.0	259.0	224.0	292.0	314.0	438.0
ENSMUSG00000024395	Lims2	75.0	195.0	38.5	19.5	15.5	1.5	0.0	9.5
ENSMUSG00000026228	Htr2b	10.0	9.5	90.5	170.0	70.0	12.5	11.5	8.0
ENSMUSG00000026812	Tsc1	337.0	515.0	692.0	660.0	601.5	587.0	742.5	519.5
ENSMUSG00000041837	Pdcd7	159.0	178.5	157.5	138.5	165.0	217.0	271.5	651.5
ENSMUSG00000028273	Pdlim5	4047.0	7705.0	4686.0	4400.5	3647.5	1991.5	1781.0	1369.0
ENSMUSG00000092386	Gm20536	76.0	107.0	276.0	268.5	201.5	119.0	115.0	92.5
ENSMUSG00000056429	Tgoln1	817.0	1179.0	3363.5	3306.5	2838.0	1619.5	1591.5	695.5
ENSMUSG00000065954	Tacc1	396.0	822.5	489.0	396.0	244.5	363.5	395.5	746.0
ENSMUSG00000020308	Tpgs1	400.0	307.5	377.5	333.5	333.5	359.5	235.0	690.0
ENSMUSG00000081534	Slc48a1	1031.0	1780.5	2126.0	1873.0	1748.5	884.5	1192.5	384.5
ENSMUSG00000079460	4933403O08Rik	0.0	33.5	33.5	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000045482	Trrap	1063.0	2125.0	1969.0	2333.0	2279.0	2787.5	3230.0	1756.0
ENSMUSG00000034555	Tex16	85.0	35.5	33.5	0.0	0.0	45.0	0.0	32.0
ENSMUSG00000056531	Ccdc18	390.0	332.0	365.5	277.0	325.0	521.5	463.0	469.5
ENSMUSG00000064308	2410137M14Rik	0.0	0.5	2.0	15.5	94.0	149.5	31.5	144.5
ENSMUSG00000023393	Slc17a9	4.0	55.5	21.0	63.0	90.0	402.5	221.5	291.0
ENSMUSG00000003575	Crtc1	165.0	219.5	211.0	373.5	274.5	185.5	274.0	234.5
ENSMUSG00000014030	Pax5	0.0	0.0	2.5	8.5	79.5	38.5	3.5	16.5
ENSMUSG00000031749	St3gal2	1328.0	1293.0	1195.5	1167.5	581.5	192.0	335.5	485.0
ENSMUSG00000027460	Angpt4	23.0	17.5	206.5	150.0	108.0	2.0	1.5	0.5
ENSMUSG00000039804	Ncoa5	695.0	459.5	582.0	696.0	593.0	554.0	651.5	629.5
ENSMUSG00000100704	Gm28434	0.0	0.0	0.0	0.0	108.0	225.0	49.0	0.0
ENSMUSG00000020400	Tnip1	339.0	527.0	887.5	849.0	1166.5	718.0	493.0	1131.0
ENSMUSG00000020785	Camkk1	59.0	87.0	97.5	44.5	57.0	12.5	8.5	66.0
ENSMUSG00000060311	Mucl1	130.0	33.5	35.5	15.0	0.0	0.0	0.0	0.0
ENSMUSG00000029280	Smr3a	0.0	0.0	0.0	0.0	79.0	191.5	49.0	0.0
ENSMUSG00000018752	Tnfsfm13	57.0	94.0	71.0	110.5	70.0	36.5	80.0	58.5
ENSMUSG00000036925	Mucl2	0.0	57.0	95.0	72.0	34.0	0.0	0.0	0.0
ENSMUSG00000007457	2310003L06Rik	0.0	0.0	35.5	44.5	128.5	249.5	60.0	88.0
ENSMUSG00000007907	Cabs1	0.0	0.0	0.0	15.0	34.0	162.5	63.5	38.0
ENSMUSG00000042249	Grk3	19.0	30.0	4.5	4.0	0.5	8.0	55.5	225.0
ENSMUSG00000001622	Csn3	205.0	86.0	178.5	526.5	402.5	29.0	119.5	0.0
ENSMUSG00000020307	Cdc34	1930.0	1023.5	1477.5	1208.0	1100.5	1814.0	1330.5	2563.5
ENSMUSG00000086228	Ubap1l	5.0	2.5	8.0	25.5	5.5	5.0	9.5	378.5
ENSMUSG00000024459	H2-M5	1.0	11.0	54.5	75.5	137.0	372.5	101.0	605.5
ENSMUSG00000071723	Gspt2	101.0	119.5	118.0	80.5	151.0	114.0	130.0	176.5
ENSMUSG00000025407	Gli1	8.0	0.0	0.0	2.0	6.5	7.5	17.5	72.5
ENSMUSG00000024983	Vti1a	307.0	401.5	345.5	399.5	372.5	289.5	269.5	244.0
ENSMUSG00000029265	Dr1	427.0	509.0	497.5	384.0	396.0	610.0	572.0	1046.5
ENSMUSG00000097328	Tnfsf12	142.0	168.0	135.5	192.5	103.0	26.0	41.5	82.5
ENSMUSG00000042628	Zfyve1	340.0	801.0	635.0	701.0	594.0	537.0	678.5	647.5
ENSMUSG00000003032	Klf4	735.0	5402.5	7992.5	6635.0	13049.0	6508.0	6258.0	1636.0
ENSMUSG00000036986	Pml	780.0	1095.0	1094.5	1388.5	807.5	1417.5	925.0	2040.5
ENSMUSG00000038848	Ythdf1	1080.0	888.0	970.5	920.0	821.5	1142.5	1150.5	1354.5
ENSMUSG00000021540	Smad5	771.0	907.0	722.0	899.0	629.5	695.0	1420.5	366.5
ENSMUSG00000040345	Arhgap9	1.0	9.5	2.5	5.0	0.0	4.5	2.0	144.0
ENSMUSG00000056267	Cep70	79.0	68.0	59.5	56.0	56.5	214.0	172.5	204.0
ENSMUSG00000037653	Kctd8	299.0	382.0	425.0	292.0	301.5	253.0	234.5	0.0
ENSMUSG00000036907	C1ql2	0.0	0.0	0.0	113.5	3.5	4.5	0.5	2.5
ENSMUSG00000020911	Krt19	332.0	220.0	104.0	133.5	51.0	380.0	970.5	3.0
ENSMUSG00000020823	Sec14l1	1404.0	1690.0	2242.0	2042.0	2545.0	2016.0	1578.0	1405.5
ENSMUSG00000000168	Dlat	1134.0	1131.5	970.5	757.5	708.0	737.0	732.0	1372.0
ENSMUSG00000057738	Sptan1	6257.0	13090.0	10254.0	9752.0	8815.0	11844.0	11203.0	3846.5
ENSMUSG00000000326	Comt	998.0	1125.0	658.5	625.0	574.0	471.0	357.0	298.0
ENSMUSG00000040813	Tex264	757.0	619.5	1258.5	1197.5	1235.0	714.0	486.5	325.0
ENSMUSG00000064294	Aox3	7.0	1.5	1.0	48.0	366.5	196.5	50.0	28.5
ENSMUSG00000030670	Cyp2r1	0.0	168.0	249.5	196.0	178.5	138.5	60.0	89.5
ENSMUSG00000029263	Pigg	114.0	208.0	131.0	149.0	185.5	145.0	151.5	203.0
ENSMUSG00000049097	Ankrd34a	46.0	167.5	50.5	115.5	212.5	32.5	22.5	11.5
ENSMUSG00000028030	Tbck	203.0	256.5	156.0	193.5	177.0	153.0	139.0	211.0
ENSMUSG00000006299	Aamp	1363.0	1143.5	1122.0	1403.0	1393.0	1574.0	1413.0	1442.0
ENSMUSG00000017747	Ghdc	172.0	279.0	342.0	325.5	266.5	104.5	162.5	163.0
ENSMUSG00000021198	Unc79	1.0	0.5	5.5	15.0	94.5	324.5	49.0	0.5
ENSMUSG00000048299	Olfr148	0.0	33.5	0.0	15.0	74.0	45.0	48.5	0.0
ENSMUSG00000049288	Lix1l	1324.0	1993.0	1384.0	1485.5	1634.5	444.0	1364.5	388.0
ENSMUSG00000000340	Dbt	189.0	149.5	233.5	206.0	247.5	359.5	256.5	253.5
ENSMUSG00000000325	Arvcf	235.0	485.0	404.0	528.0	543.0	660.0	587.5	840.5
ENSMUSG00000045327	6330549D23Rik	123.0	166.0	126.0	138.5	121.0	55.0	112.5	46.5
ENSMUSG00000038840	Birc7	0.0	4.0	43.0	2.5	9.5	1.0	0.0	61.5
ENSMUSG00000037366	Pafah2	230.0	331.0	554.5	441.5	285.5	158.0	110.0	179.0
ENSMUSG00000032231	Anxa2	13026.0	14242.0	27263.5	16657.0	59340.0	7979.5	12381.5	33.0
ENSMUSG00000032841	Prr5l	123.0	95.5	95.5	91.5	81.0	15.5	59.0	69.5
ENSMUSG00000008683	Rps15a	8417.0	5612.0	5378.5	4981.5	3593.5	7998.5	7603.0	7418.5
ENSMUSG00000045545	Krt14	7.0	1.5	24.0	24.0	20.5	83.0	48.0	0.0
ENSMUSG00000027574	Nkain4	21.0	158.5	53.5	13.5	4.5	20.0	16.5	87.5
ENSMUSG00000026390	Marco	0.0	14.0	71.5	448.5	4.0	29.5	0.0	0.0
ENSMUSG00000101503	Gm28364	344.0	304.5	321.5	421.0	377.0	416.5	305.5	432.5
ENSMUSG00000020898	Ctc1	577.0	779.0	653.0	584.0	549.0	875.0	698.5	1604.5
ENSMUSG00000029158	Yipf7	85.0	34.0	0.0	15.0	0.0	54.0	77.0	156.0
ENSMUSG00000028029	Aimp1	1471.0	668.5	533.0	556.5	456.0	744.5	609.5	1826.5
ENSMUSG00000017843	Ppp2r5c	1361.0	1481.5	1282.0	1331.5	1275.5	1431.0	1541.5	1440.0
ENSMUSG00000021368	Tbc1d7	202.0	200.0	131.5	124.5	95.5	120.5	121.0	113.0
ENSMUSG00000038806	Sde2	489.0	671.0	748.0	731.5	753.5	881.0	837.5	855.0
ENSMUSG00000109881	Gm45507	94.0	85.0	29.0	36.0	27.5	203.5	497.0	79.5
ENSMUSG00000073062	Zxdb	89.0	244.5	131.5	140.5	127.5	71.5	89.0	59.5
ENSMUSG00000078566	Bnip3	276.0	276.5	122.0	155.0	156.0	725.0	1747.5	183.0
ENSMUSG00000040661	Rad54l2	437.0	715.5	677.0	730.0	697.5	860.0	992.5	1252.5
ENSMUSG00000028656	Cap1	5336.0	6175.0	6333.5	5192.5	3654.5	2838.0	2926.5	2692.5
ENSMUSG00000037991	Rmi2	39.0	10.5	21.5	12.0	32.5	47.5	13.0	201.5
ENSMUSG00000036779	Papd5	233.0	288.0	318.5	352.0	385.5	409.5	517.0	531.5
ENSMUSG00000026457	Adipor1	1572.0	2103.0	2245.0	1906.5	2200.0	1689.0	1445.0	1220.5
ENSMUSG00000003623	Crot	282.0	436.0	465.0	326.5	452.0	281.5	249.5	369.5
ENSMUSG00000031983	2310022B05Rik	1732.0	2539.0	723.5	847.0	1160.5	478.0	855.0	225.0
ENSMUSG00000073838	Tufm	1338.0	789.5	980.5	838.5	892.5	1174.5	782.5	1226.0
ENSMUSG00000082016	Pgam1-ps2	500.0	503.5	805.5	504.0	489.5	755.0	803.0	681.5
ENSMUSG00000034006	Pqlc1	286.0	230.0	347.0	215.5	212.0	110.0	82.0	130.5
ENSMUSG00000027459	Fam110a	230.0	212.0	367.5	294.5	280.5	141.0	177.5	219.0
ENSMUSG00000017652	Cd40	21.0	54.5	124.5	180.0	64.0	6.0	12.0	7.5
ENSMUSG00000034786	Gpsm3	19.0	55.0	13.0	19.5	57.0	29.5	3.5	74.5
ENSMUSG00000035673	Sbno2	1220.0	2046.0	1636.5	1742.0	2383.5	1429.5	1618.0	1388.5
ENSMUSG00000036769	Wdr44	566.0	566.0	678.5	598.0	550.5	559.0	602.0	585.5
ENSMUSG00000034673	Pbx2	565.0	602.5	479.5	493.5	557.5	741.5	716.5	673.5
ENSMUSG00000022500	Litaf	1199.0	1560.5	1442.5	1249.5	1567.5	959.5	745.5	583.0
ENSMUSG00000113431	AC055772.1	92.0	12.0	24.5	5.5	95.0	350.5	166.5	1.0
ENSMUSG00000028923	Necap2	603.0	756.5	647.5	574.0	618.5	457.0	626.0	555.0
ENSMUSG00000105867	Gm42517	0.0	1.0	52.0	122.5	39.5	2.5	0.5	6.5
ENSMUSG00000036036	Zfp57	628.0	503.5	835.5	967.0	1675.0	2927.0	1563.0	3794.0
ENSMUSG00000055200	Sertad3	127.0	136.5	125.0	69.0	108.0	129.0	163.0	249.5
ENSMUSG00000027420	Bfsp1	19.0	13.5	50.5	78.5	62.0	16.0	11.0	13.0
ENSMUSG00000048616	Nog	49.0	108.5	2.0	4.5	0.0	0.0	2.0	5.5
ENSMUSG00000024998	Plce1	85.0	102.0	122.5	396.5	1012.0	812.0	1254.0	126.5
ENSMUSG00000025503	Taldo1	1634.0	1179.0	1818.0	1204.5	1184.5	1909.0	1331.5	2601.5
ENSMUSG00000040552	C3ar1	61.0	171.0	92.5	126.5	9.0	5.5	0.0	0.0
ENSMUSG00000028657	Ppt1	780.0	887.5	1191.5	1644.5	1657.0	931.5	835.0	508.0
ENSMUSG00000097817	Gm26810	28.0	55.5	64.0	108.0	132.5	33.5	14.5	404.0
ENSMUSG00000070733	Fryl	486.0	3367.0	1755.5	2677.5	1961.0	1710.0	2445.0	1459.5
ENSMUSG00000034560	Washc4	607.0	751.0	1087.0	966.0	689.5	812.0	646.0	314.0
ENSMUSG00000001794	Capns1	3423.0	3585.0	4630.0	4900.0	5030.0	5406.5	3938.5	6673.0
ENSMUSG00000028552	Eps15	813.0	864.0	670.0	632.0	496.0	752.5	633.5	379.5
ENSMUSG00000022055	Nefl	11.0	2.0	1285.5	1714.5	3872.0	1856.0	690.0	243.0
ENSMUSG00000022054	Nefm	43.0	25.5	927.0	1219.0	2488.5	1063.0	347.0	203.5
ENSMUSG00000025525	Apool	237.0	167.5	94.0	64.5	62.5	127.5	129.5	255.5
ENSMUSG00000034160	Ogt	1014.0	2484.5	2392.0	3205.0	3012.0	5802.5	7987.0	3355.5
ENSMUSG00000032491	Nradd	518.0	478.5	401.0	322.5	330.5	187.5	139.0	93.5
ENSMUSG00000027002	Nckap1	3138.0	5781.0	6191.0	4604.0	4509.5	2862.5	2682.0	1783.5
ENSMUSG00000018672	Copz2	817.0	875.5	499.5	402.5	133.0	27.5	183.5	295.0
ENSMUSG00000024667	Tmem216	145.0	98.0	121.0	129.5	125.5	141.0	154.5	243.0
ENSMUSG00000109324	Prmt1	3453.0	1379.5	1749.0	1583.5	1608.0	2946.0	2481.5	3161.0
ENSMUSG00000027463	Slc52a3	1.0	3.0	19.0	107.5	237.5	333.0	50.5	195.5
ENSMUSG00000000037	Scml2	350.0	291.0	288.5	201.5	227.5	337.0	359.5	583.0
