ensg	name	loc	tss_loc	strand
ENSMUSG00000108548	Gm45006	chr7:73797603-73798292		-1
ENSMUSG00000114731	Gm47914	chr13:116558311-116677705		-1
ENSMUSG00000114347	Gm47913	chr13:116651448-116663591		-1
ENSMUSG00000032198	Dock6	chr9:21799860-21852635		-1
ENSMUSG00000097291	Gm18828	chr1:36764863-36765874		-1
ENSMUSG00000026117	Zap70	chr1:36761798-36782818		1
ENSMUSG00000058246	Gm10037	chr13:67831106-67844035		1
ENSMUSG00000059874	Olfr603	chr7:103383062-103386177		-1
ENSMUSG00000017064	Prl5a1	chr13:28142484-28151611		1
ENSMUSG00000085841	Gm4954	chr1:166762145-166770485		1
ENSMUSG00000069308	Hist1h2bp	chr13:21787461-21789213		1
ENSMUSG00000095483	Olfr776	chr10:129259127-129264298		1
ENSMUSG00000099719	Gm28802	chr1:58850085-58892792		-1
ENSMUSG00000058976	Usp17lc	chr7:103415072-103419880		1
ENSMUSG00000090487	Gm2888	chr14:3030002-3038762		1
ENSMUSG00000073686	Gm10564	chr4:155042046-155045422		1
ENSMUSG00000103073	Gm37904	chr1:166798528-166798839		-1
ENSMUSG00000108331	Gm5322	chr7:18038476-18039174		1
ENSMUSG00000093531	Vmn2r-ps117	chr17:18822550-18838589		1
ENSMUSG00000062914	Olfr777	chr10:129264407-129271485		-1
ENSMUSG00000037499	Nenf	chr1:191306789-191318194		-1
ENSMUSG00000038578	Susd1	chr4:59314683-59438633		-1
ENSMUSG00000101912	1700052I22Rik	chr12:80923432-80924449		-1
ENSMUSG00000040746	Rnf167	chr11:70647235-70651421		1
ENSMUSG00000030366	Ceacam12	chr7:18065929-18077986		1
ENSMUSG00000086925	Gm6286	chr1:166945597-166946358		-1
ENSMUSG00000079410	Gm2897	chr14:3049285-3076840		1
ENSMUSG00000102550	Gm8276	chr3:59431537-59433348		1
ENSMUSG00000056069	Fam105a	chr15:27655069-27681579		-1
ENSMUSG00000032293	Ireb2	chr9:54863789-54912530		1
ENSMUSG00000061207	Stk19	chr17:34823993-34836945		-1
ENSMUSG00000024798	Htr7	chr19:35958734-36057507		-1
ENSMUSG00000070461	9230112E08Rik	chr2:180983924-180987275		1
ENSMUSG00000035093	Secisbp2l	chr2:125736986-125782870		-1
ENSMUSG00000025059	Gk	chrX:85701937-85776819		-1
ENSMUSG00000104692	Gm42773	chr6:70495383-70495530		1
ENSMUSG00000016356	Col20a1	chr2:180986535-181018363		1
ENSMUSG00000109298	Gm44886	chr7:68439373-68441722		1
ENSMUSG00000108828	Gm34549	chr7:68429215-68490892		1
ENSMUSG00000079101	Esd-ps	chr14:3051653-3052499		-1
ENSMUSG00000079316	Rab9	chrX:166457253-166479867		-1
ENSMUSG00000111028	Gm5922	chr9:120133463-120136329		-1
ENSMUSG00000090079	Gm15849	chr1:132381129-132382509		1
ENSMUSG00000042066	Tmcc2	chr1:132356315-132391281		-1
ENSMUSG00000020566	Atp6v1c2	chr12:17284721-17329359		-1
ENSMUSG00000105239	Gm43091	chr5:135653810-135672987		-1
ENSMUSG00000026626	Ppp2r5a	chr1:191351975-191403272		-1
ENSMUSG00000080972	Gm16061	chr5:135698163-135699019		-1
ENSMUSG00000082711	Gm12987	chr4:136584172-136584660		-1
ENSMUSG00000068151	A230006K03Rik	chr7:61127996-61311721		-1
ENSMUSG00000023723	Mrps23	chr11:88204388-88211507		1
ENSMUSG00000001089	Luzp1	chr4:136469761-136554780		1
ENSMUSG00000055013	Agap1	chr1:89454806-89897617		1
ENSMUSG00000108917	Gm38451	chr7:61128039-61130684		-1
ENSMUSG00000107109	Gm42571	chr5:73187954-73190417		-1
ENSMUSG00000086376	1700071G01Rik	chr5:73157014-73157884		1
ENSMUSG00000073045	Gm5570	chr6:60031967-60150045		1
ENSMUSG00000105862	Igkv3-12-1	chr6:70497681-70498273		-1
ENSMUSG00000109375	Gm44887	chr7:68598677-68598854		-1
ENSMUSG00000090561	Gm17207	chr5:73210156-73212643		-1
ENSMUSG00000094117	Igkv3-12	chr6:70518250-70518849		1
ENSMUSG00000094854	Gm5334	chr7:68618838-68619557		1
ENSMUSG00000108876	Gm44692	chr7:68719170-68726467		-1
ENSMUSG00000103914	Gm38073	chr1:124375578-124379242		-1
ENSMUSG00000083979	Gm12527	chr4:59368303-59368866		-1
ENSMUSG00000046764	A530053G22Rik	chr6:60279043-60403707		-1
ENSMUSG00000103211	Gm38288	chr3:59469671-59474095		-1
ENSMUSG00000026994	Galnt3	chr2:66082766-66124994		-1
ENSMUSG00000093446	Gm20694	chr8:117125335-117125738		1
ENSMUSG00000082199	Gm15763	chr6:148261150-148261552		1
ENSMUSG00000031845	Bco1	chr8:117095854-117133720		1
ENSMUSG00000099655	2310034G01Rik	chr19:46348201-46350302		-1
ENSMUSG00000025227	Mfsd13a	chr19:46341121-46375252		1
ENSMUSG00000066756	Igfl3	chr7:18176494-18181862		1
ENSMUSG00000030306	Tmtc1	chr6:148232430-148444389		-1
ENSMUSG00000021010	Npas3	chr12:53248677-54072175		1
ENSMUSG00000103902	Gm37501	chr3:93152178-93152868		1
ENSMUSG00000049133	Flg2	chr3:93197278-93221391		1
ENSMUSG00000110561	Gm45888	chr8:110011375-110014324		-1
ENSMUSG00000083434	Gm12760	chr7:34036447-34037432		-1
ENSMUSG00000091014	Gm5244	chr19:12846682-12847424		1
ENSMUSG00000108545	Gm44613	chr7:18074016-18186952		-1
ENSMUSG00000080947	Gm12779	chr7:34068555-34068697		-1
ENSMUSG00000059585	Ube2nl	chr7:61549246-61549701		-1
ENSMUSG00000109006	B230209E15Rik	chr7:61529871-61615327		-1
ENSMUSG00000090946	Ccdc71l	chr12:32378704-32382943		1
ENSMUSG00000078752	Scgb1b30	chr7:34095431-34100837		1
ENSMUSG00000031828	Klhl36	chr8:119862266-119876995		1
ENSMUSG00000102240	Gm37717	chr1:124824702-124827728		-1
ENSMUSG00000114290	4930435F18Rik	chr13:116802095-116838178		-1
ENSMUSG00000100851	Gm28928	chr1:124505757-124846039		-1
ENSMUSG00000101006	Gm28299	chr1:124615191-124615596		-1
ENSMUSG00000102548	Gm16701	chr1:166974023-166999728		-1
ENSMUSG00000051156	Olfr1491	chr19:13697268-13706127		1
ENSMUSG00000097823	Gm16701	chr1:166998295-167000841		-1
ENSMUSG00000046272	Olfr1444	chr19:12857283-12863440		1
ENSMUSG00000035930	Chst4	chr8:110029153-110039740		-1
ENSMUSG00000109659	Olfr605	chr7:103440407-103445439		-1
ENSMUSG00000102609	Gm18432	chr3:93234920-93236467		1
ENSMUSG00000113061	Gm11361	chr13:28257528-28258134		1
ENSMUSG00000109527	Olfr1492-ps1	chr19:13718013-13718877		1
ENSMUSG00000107803	Olfr778-ps1	chr10:129288793-129288999		-1
ENSMUSG00000109520	Olfr1493-ps1	chr19:13723278-13727983		1
ENSMUSG00000044537	Olfr779	chr10:129311180-129312108		1
ENSMUSG00000081640	Rplp0-ps1	chr3:93278141-93279073		1
ENSMUSG00000073949	Olfr606	chr7:103449046-103453531		1
ENSMUSG00000050865	Olfr1494	chr19:13739728-13750479		1
ENSMUSG00000031988	Vps26b	chr9:27007771-27030065		-1
ENSMUSG00000102439	Flg	chr3:93273523-93293686		1
ENSMUSG00000109554	A230057D06Rik	chr7:61704519-61829422		-1
ENSMUSG00000108824	A230057D06Rik	chr7:61707739-61727752		-1
ENSMUSG00000026627	Tmem206	chr1:191325912-191350914		1
ENSMUSG00000110507	8030455M16Rik	chr8:110047432-110057176		1
ENSMUSG00000064215	Ifi27	chr12:103434211-103440239		1
ENSMUSG00000060568	Fam78b	chr1:167001417-167091302		1
ENSMUSG00000090319	Gm4462	chr16:20664116-20664607		1
ENSMUSG00000107863	Gm44389	chr6:60461933-60462114		-1
ENSMUSG00000091491	Vmn2r97	chr17:18914322-18948071		1
ENSMUSG00000108798	Gm9521	chr7:18229777-18231292		1
ENSMUSG00000108192	Gm44410	chr6:60489956-60490445		1
ENSMUSG00000099574	1700121L03Rik	chr1:125190282-125197455		-1
ENSMUSG00000113418	Gm47172	chr13:28285569-28309898		1
ENSMUSG00000113216	Gm40841	chr13:28394453-28420066		-1
ENSMUSG00000083719	Gm15161	chrX:151783522-151783908		1
ENSMUSG00000031938	4931406C07Rik	chr9:15283337-15306448		-1
ENSMUSG00000024593	Megf10	chr18:57133090-57297467		1
ENSMUSG00000030060	Hmces	chr6:87913935-87936629		1
ENSMUSG00000074111	Mrgpra9	chr7:47234861-47252848		-1
ENSMUSG00000044676	Zfp612	chr8:110079746-110092741		1
ENSMUSG00000114680	Gm47202	chr14:64530952-64537538		-1
ENSMUSG00000036459	Wtip	chr7:34109543-34133268		-1
ENSMUSG00000108244	Gm44077	chr6:52012601-52026986		1
ENSMUSG00000099407	1700060O08Rik	chr12:54062048-54079392		-1
ENSMUSG00000101816	Gm29659	chrY:68206802-68207497		1
ENSMUSG00000091289	Gm17051	chr14:3084899-3085385		-1
ENSMUSG00000079494	Nat8f5	chr6:85817218-85820972		-1
ENSMUSG00000064063	BC048507	chr13:67863326-67863925		1
ENSMUSG00000052160	Pld4	chr12:112760655-112768990		1
ENSMUSG00000018593	Sparc	chr11:55394500-55423183		-1
ENSMUSG00000113179	1700030L22Rik	chr12:53303352-53309846		-1
ENSMUSG00000116033	AC161165.2	chr15:98893351-98895175		1
ENSMUSG00000095941	Gm21964	chr8:110101207-110111961		1
ENSMUSG00000023755	Rhebl1	chr15:98877778-98894540		-1
ENSMUSG00000074282	Zfp94	chr7:24301704-24316666		-1
ENSMUSG00000028873	Cdca8	chr4:124918465-124939311		-1
ENSMUSG00000079495	Nat8f6	chr6:85808024-85820954		-1
ENSMUSG00000022831	Hcls1	chr16:36934983-36963212		1
ENSMUSG00000108634	Gm38534	chr11:88253368-88256990		1
ENSMUSG00000034031	Ccdc182	chr11:88294058-88295261		1
ENSMUSG00000108003	Gm35386	chr6:60586778-60591189		1
ENSMUSG00000049573	Olfr780	chr10:129318117-129324141		1
ENSMUSG00000111947	Gm47438	chr10:128081354-128082970		-1
ENSMUSG00000008601	Rab25	chr3:88542029-88548300		-1
ENSMUSG00000081304	Gm11509	chr11:88335660-88335984		1
ENSMUSG00000035443	Thyn1	chr9:26999710-27007336		1
ENSMUSG00000108168	Gm43864	chr6:60791840-60795867		-1
ENSMUSG00000107755	Mageb16-ps2	chr6:60769967-60771059		-1
ENSMUSG00000025889	Snca	chr6:60731575-60829855		-1
ENSMUSG00000110075	Gm45305	chr8:26242724-26244051		1
ENSMUSG00000085246	Gm15893	chr11:88356291-88363947		1
ENSMUSG00000030359	Pzp	chr6:128483567-128526720		-1
ENSMUSG00000050700	Emilin3	chr2:160906437-160912328		-1
ENSMUSG00000037086	Prr32	chrX:45090904-45092791		1
ENSMUSG00000069769	Msi2	chr11:88339382-88718513		-1
ENSMUSG00000036863	Syde2	chr3:145987870-146021720		1
ENSMUSG00000021693	Kif2a	chr13:106958996-107022126		-1
ENSMUSG00000047220	Ccdc36	chr9:108403611-108428484		-1
ENSMUSG00000110417	Gm31727	chr8:26266977-26273555		1
ENSMUSG00000020893	Per1	chr11:69095217-69109960		1
ENSMUSG00000110229	Gm31784	chr8:26298352-26312334		-1
ENSMUSG00000109682	Gm45307	chr8:26298634-26354163		1
ENSMUSG00000110391	Gm7269	chr10:112008922-112049286		-1
ENSMUSG00000080764	Gm14606	chrX:45403691-45404845		-1
ENSMUSG00000075389	2810410L24Rik	chr11:120185400-120189852		-1
ENSMUSG00000109996	Gm31898	chr8:26428281-26435713		-1
ENSMUSG00000051098	Mblac2	chr13:81711341-81753275		1
ENSMUSG00000102485	Gm37922	chr3:93305015-93305469		1
ENSMUSG00000087147	Gm14228	chr2:160925541-160926648		-1
ENSMUSG00000027209	Fam227b	chr2:125983483-126152004		-1
ENSMUSG00000114905	Gm48113	chr13:81723990-81725028		-1
ENSMUSG00000086785	Gm6081	chr13:28510744-28511232		-1
ENSMUSG00000086750	Gm11770	chr11:120215082-120216993		-1
ENSMUSG00000085936	2610307P16Rik	chr13:28460034-28885620		-1
ENSMUSG00000015289	Lage3	chrX:74351276-74353618		-1
ENSMUSG00000043993	2900052L18Rik	chr11:120229802-120231585		-1
ENSMUSG00000032611	1700102P08Rik	chr9:108392805-108410934		1
ENSMUSG00000109110	Gm45014	chr7:81860293-81862527		-1
ENSMUSG00000097763	Gm26636	chr6:87908843-87914459		-1
ENSMUSG00000025104	Hdgfl3	chr7:81881251-81934473		-1
ENSMUSG00000031983	2310022B05Rik	chr8:124635756-124663369		-1
ENSMUSG00000035954	Dock4	chr12:40445952-40846874		1
ENSMUSG00000057133	Chd6	chr2:160946978-161109075		-1
ENSMUSG00000109465	Gm19032	chr7:61882972-61883563		1
ENSMUSG00000028878	Fam76a	chr4:132899213-132922558		-1
ENSMUSG00000025630	Hprt	chrX:52988137-53021659		1
ENSMUSG00000109394	A230057D06Rik	chr7:61916400-61928690		-1
ENSMUSG00000111253	Gm34654	chr9:77807036-77809793		-1
ENSMUSG00000026983	Il1f5	chr2:24276954-24283426		1
ENSMUSG00000032612	Usp4	chr9:108347853-108392545		1
ENSMUSG00000082861	Gm11362	chr13:28836875-28837724		1
ENSMUSG00000105499	Igkv3-11	chr6:70553239-70553862		1
ENSMUSG00000099560	Mrgprx3-ps	chr7:47309378-47310295		-1
ENSMUSG00000085880	Gm15229	chrX:166482220-166483617		-1
ENSMUSG00000085412	Halr1	chr6:52102949-52113684		1
ENSMUSG00000081875	Gm15223	chrX:166485602-166486427		1
ENSMUSG00000111505	Gm48673	chr9:27021553-27024921		-1
ENSMUSG00000081281	Gm6274	chrX:36668217-36669013		1
ENSMUSG00000089827	1700023H06Rik	chr13:80884224-80885524		-1
ENSMUSG00000042659	Arrdc4	chr7:68736995-68749241		-1
ENSMUSG00000045126	Olfr1445	chr19:12883855-12884855		1
ENSMUSG00000074794	Arrdc3	chr13:80883384-80896042		1
ENSMUSG00000103765	Gm37857	chr3:93393698-93394896		1
ENSMUSG00000046480	Scn4b	chr9:45138395-45154152		1
ENSMUSG00000104171	Gm18296	chr3:93420646-93421428		-1
ENSMUSG00000096016	Gm20937	chrY:68268651-68294898		-1
ENSMUSG00000041984	Rptn	chr3:93393699-93399442		1
ENSMUSG00000026341	Actr3	chr1:125392905-125435727		-1
ENSMUSG00000112865	AC155255.1	chr12:32390768-32431923		-1
ENSMUSG00000037636	Slc25a43	chrX:36743659-36777202		1
ENSMUSG00000103273	Gm37913	chr3:93306468-93309011		1
ENSMUSG00000052415	Tchh	chr3:93442330-93449077		1
ENSMUSG00000102476	Gm37245	chr3:93306468-93465359		-1
ENSMUSG00000050650	Mrgpra1	chr7:47334875-47354240		-1
ENSMUSG00000041991	Hrnr	chr3:93319749-93333570		1
ENSMUSG00000104114	Gm37297	chr1:89483438-89485821		1
ENSMUSG00000095057	Zfp353-ps	chr8:42081460-42083109		-1
ENSMUSG00000104038	Gm37771	chr3:59483024-59483288		1
ENSMUSG00000103252	Gm37521	chr1:89825481-89827525		1
ENSMUSG00000103598	Gm4856	chr3:59505581-59535226		-1
ENSMUSG00000053038	Gm6180	chr8:42246911-42247408		1
ENSMUSG00000101662	Gm28499	chr1:89568765-89576602		1
ENSMUSG00000109164	Gm45085	chr7:47349453-47349893		1
ENSMUSG00000081979	Rps8-ps3	chr6:52118242-52118891		1
ENSMUSG00000057817	Olfr1446	chr19:12888266-12893524		-1
ENSMUSG00000100470	Gm29479	chr7:47390616-47391070		-1
ENSMUSG00000089702	Gm16568	chr9:15330573-15335345		1
ENSMUSG00000106155	Gm43495	chr5:137870754-137871209		1
ENSMUSG00000048118	Arid4a	chr12:71015990-71098592		1
ENSMUSG00000054827	Cyp2c50	chr19:40089688-40113950		1
ENSMUSG00000066682	Pilrb2	chr5:137865827-137871815		-1
ENSMUSG00000102009	4933400F21Rik	chr1:89650529-89683908		-1
ENSMUSG00000039335	Spata16	chr3:26637620-26983212		1
ENSMUSG00000054320	Lrrc36	chr8:105413571-105464086		1
ENSMUSG00000027206	Cops2	chr2:125830304-125859139		-1
ENSMUSG00000112171	Gm17820	chr12:32486351-32487418		-1
ENSMUSG00000109090	Gm45088	chr7:81918943-81920350		-1
ENSMUSG00000111993	Gm48018	chr10:33969983-33976689		1
ENSMUSG00000001942	Siae	chr9:37555698-37649655		1
ENSMUSG00000108148	Gm44020	chr6:148358795-148362113		1
ENSMUSG00000109243	Gm45867	chr7:81874204-81876520		1
ENSMUSG00000107706	Gm44022	chr6:148385901-148391329		-1
ENSMUSG00000047207	Olfr1495	chr19:13764606-13770248		1
ENSMUSG00000038623	Tm6sf1	chr7:81859001-81884434		1
ENSMUSG00000084261	Rpl36a-ps4	chr2:72360247-72360542		1
ENSMUSG00000108035	Gm44021	chr6:148361141-148364656		-1
ENSMUSG00000112782	Gm7940	chr10:33972801-33973569		-1
ENSMUSG00000063171	Rps4l	chr6:148354656-148355598		1
ENSMUSG00000112617	Gm47937	chr12:32673180-32673294		-1
ENSMUSG00000062037	Olfr285	chr15:98309203-98317353		-1
ENSMUSG00000112218	Gm18726	chr12:32710161-32712532		1
ENSMUSG00000057829	Gm5278	chr3:93433215-93433766		-1
ENSMUSG00000107896	Gm8719	chr6:128472855-128473388		-1
ENSMUSG00000100975	Gm28875	chr12:104925501-104926689		-1
ENSMUSG00000107505	Gm18009	chr6:128447084-128448398		-1
ENSMUSG00000016319	Slc25a5	chrX:36795651-36798807		1
ENSMUSG00000059659	Gm10069	chr6:128438757-128503281		1
ENSMUSG00000051793	Olfr284	chr15:98340022-98340987		-1
ENSMUSG00000103943	Gm37344	chrY:15270053-15273287		1
ENSMUSG00000107016	AC122464.1	chr6:23155825-23164093		-1
ENSMUSG00000106989	Gm5989	chr6:23157985-23160061		-1
ENSMUSG00000107032	Gm44942	chr6:23157985-23167392		-1
ENSMUSG00000054509	Parp4	chr14:56575619-56659794		1
ENSMUSG00000094594	Tpd52-ps	chr8:79680284-79680806		-1
ENSMUSG00000019779	Frk	chr10:34483399-34611278		1
ENSMUSG00000079033	Mef2b	chr8:70139711-70167488		1
ENSMUSG00000035878	Hykk	chr9:54917283-54949924		1
ENSMUSG00000040950	Mgl2	chr11:70130329-70137550		1
ENSMUSG00000084966	2810471M01Rik	chr11:28681564-28693276		1
ENSMUSG00000085510	Gm12082	chr11:28751633-28815767		1
ENSMUSG00000054150	Syne3	chr12:104929933-105009809		-1
ENSMUSG00000020467	Efemp1	chr11:28853204-28926743		1
ENSMUSG00000027577	Chrna4	chr2:181018380-181043546		-1
ENSMUSG00000060303	Olfr1447	chr19:12899434-12903743		-1
ENSMUSG00000023000	Dhh	chr15:98891152-98898540		-1
ENSMUSG00000069376	Gm5507	chr18:53984321-53985328		1
ENSMUSG00000108448	Gm21269	chr7:73816546-73838898		1
ENSMUSG00000076596	Igkv3-10	chr6:70572633-70573230		1
ENSMUSG00000071613	Gm10340	chr14:3133997-3141609		1
ENSMUSG00000027298	Tyro3	chr2:119797733-119818104		1
ENSMUSG00000105517	Gm42436	chr3:41002434-41006089		1
ENSMUSG00000051224	Tceanc	chrX:166499812-166518567		-1
ENSMUSG00000025762	Larp1b	chr3:40950354-41040234		1
ENSMUSG00000093607	Vmn2r-ps118	chr17:18989621-18990935		1
ENSMUSG00000113095	Gm7969	chr13:67949751-67954507		1
ENSMUSG00000057396	Zfp759	chr13:67121660-67141787		1
ENSMUSG00000090684	Gm17221	chr14:3149604-3150084		-1
ENSMUSG00000112984	Gm48419	chr13:67965483-67970239		1
ENSMUSG00000096717	Vmn2r98	chr17:19053493-19081311		1
ENSMUSG00000099472	Gm29539	chr1:74774943-74777405		-1
ENSMUSG00000027104	Atf2	chr2:73816509-73892639		-1
ENSMUSG00000033227	Wnt6	chr1:74771892-74785322		1
ENSMUSG00000040860	Crocc	chr4:141016637-141060550		-1
ENSMUSG00000102384	Gm38143	chr7:73948423-73958042		1
ENSMUSG00000108012	Gm44012	chr6:84921123-84924996		1
ENSMUSG00000025789	St8sia2	chr7:73939119-74013690		-1
ENSMUSG00000107629	Gm44011	chr6:85062574-85062967		1
ENSMUSG00000098142	Gm7507	chr6:84812240-84813247		1
ENSMUSG00000033769	Exoc6b	chr6:84618487-85069513		-1
ENSMUSG00000090038	Gm16573	chr14:56607261-56620513		-1
ENSMUSG00000058355	Abce1	chr8:79683462-79711740		-1
ENSMUSG00000111360	AC110091.2	chr9:120193089-120280327		1
ENSMUSG00000104494	Gm37111	chr9:120182564-120183197		1
ENSMUSG00000074491	Clec4g	chr8:3707064-3720651		-1
ENSMUSG00000111219	AC110091.1	chr9:120179038-120279171		1
ENSMUSG00000032517	Mobp	chr9:120149707-120181484		1
ENSMUSG00000095338	Igkv3-9	chr6:70588189-70588777		1
ENSMUSG00000097545	Mir124a-1hg	chr14:64587331-64593961		1
ENSMUSG00000070995	Gm6313	chr6:148606786-148614309		-1
ENSMUSG00000000402	Egfl6	chrX:166523007-166585720		-1
ENSMUSG00000047822	Angptl8	chr9:21835510-21837347		1
ENSMUSG00000020349	Ppp2ca	chr11:52098681-52127778		1
ENSMUSG00000105146	Gm35409	chr3:146038445-146039840		1
ENSMUSG00000039396	Neil3	chr8:53586867-53639065		-1
ENSMUSG00000030004	Nat8	chr6:85830388-85832082		-1
ENSMUSG00000060012	Kif13b	chr14:64647265-64809617		1
ENSMUSG00000046402	Rbp1	chr9:98422961-98446575		1
ENSMUSG00000056184	Olfr283	chr15:98377699-98380946		-1
ENSMUSG00000108375	Gm45003	chr7:73945377-73947534		-1
ENSMUSG00000116514	AC119935.1	chr15:98384007-98384267		1
ENSMUSG00000079409	Gm5795	chr14:3188255-3196681		1
ENSMUSG00000029348	Asphd2	chr5:112384354-112394866		-1
ENSMUSG00000051354	Samd3	chr10:26229707-26272172		1
ENSMUSG00000109987	Gm18414	chr8:42769434-42770127		1
ENSMUSG00000109627	Gm45590	chr8:43085587-43085848		1
ENSMUSG00000084411	Gm11510	chr11:88432986-88433514		-1
ENSMUSG00000031651	Triml1	chr8:43129807-43141486		-1
ENSMUSG00000039741	Bahcc1	chr11:120232947-120292296		1
ENSMUSG00000020213	Glipr1l1	chr10:112060189-112078510		1
ENSMUSG00000096039	D830030K20Rik	chr14:3208488-3234351		1
ENSMUSG00000039886	Tmem120a	chr5:135735485-135744448		-1
ENSMUSG00000054005	Mill1	chr7:18245347-18266092		1
ENSMUSG00000104760	Igkv3-8	chr6:70588875-70589452		1
ENSMUSG00000052557	Gan	chr8:117158135-117215997		1
ENSMUSG00000096217	Gm4904	chr14:3254679-3255873		-1
ENSMUSG00000099714	Gm20587	chr1:20821331-20822516		1
ENSMUSG00000091849	Gm17188	chr14:3186101-3262317		-1
ENSMUSG00000040078	Ptges3-ps	chr6:85843980-85844459		1
ENSMUSG00000089956	Gm16553	chr8:3709804-3739044		1
ENSMUSG00000084909	4930528G23Rik	chr6:148659978-148678000		-1
ENSMUSG00000100923	Olfr10	chr11:49304741-49320021		1
ENSMUSG00000103626	Gm37358	chr3:14383922-14384400		-1
ENSMUSG00000112704	Gm46329	chr12:57951211-58077436		1
ENSMUSG00000021537	Cetn3	chr13:81783077-81797155		1
ENSMUSG00000098036	Gm8955	chr3:14428492-14435009		-1
ENSMUSG00000109577	Gm44543	chr7:5414736-5415131		1
ENSMUSG00000116516	AC102262.1	chr15:81656185-81656399		-1
ENSMUSG00000022780	Meltf	chr16:31878810-31899020		1
ENSMUSG00000081556	Gm15778	chr6:148699029-148699636		-1
ENSMUSG00000103127	Gm37386	chr4:8438522-8454247		-1
ENSMUSG00000095512	Gm17222	chr14:3210975-3211821		-1
ENSMUSG00000107405	Gm44115	chr6:148701998-148712269		1
ENSMUSG00000082151	Gm11810	chr4:8456166-8456498		-1
ENSMUSG00000113273	Gm48423	chr13:67981215-67985971		1
ENSMUSG00000000318	Clec10a	chr11:70156197-70170834		1
ENSMUSG00000090610	Gm3571	chr10:93778660-93779719		1
ENSMUSG00000110165	Gm4032	chr14:56665605-56668124		-1
ENSMUSG00000072679	D6Ertd474e	chr6:143245888-143297272		1
ENSMUSG00000039710	Slc7a12	chr3:14480697-14505830		1
ENSMUSG00000041084	Ostc	chr3:130695912-130709444		-1
ENSMUSG00000028226	Mmp16	chr4:17852893-18119145		1
ENSMUSG00000111175	Gm19640	chr9:30063256-30063719		-1
ENSMUSG00000048356	Olfr1496	chr19:13777878-13782920		1
ENSMUSG00000022681	Ntan1	chr16:13818845-13835451		1
ENSMUSG00000016346	Kcnq2	chr2:181075579-181135300		-1
ENSMUSG00000111304	Gm47677	chr9:30167575-30171881		1
ENSMUSG00000040029	Ipo8	chr6:148770683-148831467		-1
ENSMUSG00000076598	Igkv3-7	chr6:70607437-70608036		1
ENSMUSG00000101419	Gm29600	chr9:103409169-103409545		1
ENSMUSG00000114568	Gm48732	chr13:67143672-67145366		-1
ENSMUSG00000036551	Akap14	chrX:37150698-37168842		-1
ENSMUSG00000109407	Gm34664	chr7:68843099-68916016		-1
ENSMUSG00000022285	Ywhaz	chr15:36770770-36796929		-1
ENSMUSG00000018585	Atox1	chr11:55446641-55461239		-1
ENSMUSG00000111104	Gm8512	chr10:92223004-92223474		-1
ENSMUSG00000098101	Gm27006	chr8:79705597-79706539		1
ENSMUSG00000111776	Gm47124	chr10:92258590-92259280		1
ENSMUSG00000098040	Gm20757	chr10:92171301-92375373		-1
ENSMUSG00000029697	Fezf1	chr6:23245044-23248362		-1
ENSMUSG00000114677	Gm48733	chr13:67167781-67168778		1
ENSMUSG00000101874	Olfr1391	chr11:49322742-49329810		1
ENSMUSG00000105466	Gm42998	chr3:130703579-130705949		-1
ENSMUSG00000109524	Gm44691	chr7:68989404-69008173		1
ENSMUSG00000113365	Gm48424	chr13:68060456-68060608		-1
ENSMUSG00000106667	Igkv3-6	chr6:70642405-70642979		1
ENSMUSG00000084304	Gm6142	chr16:4320356-4320680		-1
ENSMUSG00000020020	Usp44	chr10:93831555-93858088		1
ENSMUSG00000058900	Rsl1	chr13:67173182-67184044		1
ENSMUSG00000109991	Gm6284	chr8:43158754-43163944		1
ENSMUSG00000105022	Gm43537	chr3:36529222-36532331		-1
ENSMUSG00000016409	Nkap	chrX:37126795-37150746		1
ENSMUSG00000098506	Phf20-ps	chr7:14304780-14307665		1
ENSMUSG00000035431	Sstr1	chr12:58211772-58214444		1
ENSMUSG00000022863	Btg3	chr16:78359860-78377192		-1
ENSMUSG00000005580	Adcy9	chr16:4287529-4420498		-1
ENSMUSG00000002345	Borcs8	chr8:70139499-70147319		1
ENSMUSG00000031375	Bgn	chrX:73483602-73495933		1
ENSMUSG00000036655	Colec11	chr12:28594173-28623377		-1
ENSMUSG00000082781	Rps19-ps14	chr6:52131778-52132046		-1
ENSMUSG00000105674	Gm42437	chr3:41005515-41006437		-1
ENSMUSG00000112801	Gm48034	chr10:33980497-33980840		-1
ENSMUSG00000097793	Gm17259	chr13:81778773-81783749		-1
ENSMUSG00000093973	Mrgpra2a	chr7:47426328-47452139		-1
ENSMUSG00000104521	Gm34073	chr18:55143574-55143785		1
ENSMUSG00000113342	AA414992	chr13:68181294-68182869		1
ENSMUSG00000113050	Gm8016	chr13:68353364-68356825		-1
ENSMUSG00000030805	Stx4a	chr7:127824294-127849019		1
ENSMUSG00000058099	Nfam1	chr15:82992973-83033306		-1
ENSMUSG00000020572	Nampt	chr12:32819545-32853349		1
ENSMUSG00000087574	C030037D09Rik	chr11:88718645-88728893		1
ENSMUSG00000100247	A530053M12Rik	chr1:106400178-106401987		-1
ENSMUSG00000093533	Vmn2r-ps119	chr17:19141467-19176588		1
ENSMUSG00000098017	Gm5342	chr7:69209884-69210886		1
ENSMUSG00000113382	Gm48429	chr13:68469680-68469832		-1
ENSMUSG00000101780	Gm7255	chr7:47502456-47531784		-1
