ensg	name	tss_loc	strand	ivd cardio CM	ivd cardio ESC	ivd cardio MES	ivd exendo ctrl	ivd exendo prdm14kd	ivd mneu ESCD0	ivd mneu MND4	ivd ra ctrl	ivd ra D4
ENSMUSG00000033585	Ndn	chr7:62348277-62348277	1	2719.0	101.0	638.0	382.0	307.0	951.0	10088.0	217.5	1581.0
ENSMUSG00000031488	Rab11fip1	chr8:27174646-27174646	-1	901.0	415.0	848.0	500.0	627.0	606.0	90.0	721.5	1718.0
ENSMUSG00000031972	Acta1	chr8:123894736-123894736	-1	1312.0	1.0	124.0	1.0	32.0	357.5	6.5	18.5	4095.5
ENSMUSG00000031490	Eif4ebp1	chr8:27260327-27260327	1	2272.0	8008.0	2751.0	6212.0	5895.0	10367.5	778.5	5632.5	3086.5
ENSMUSG00000025246	Tbl1x	chrX:77511013-77511013	1	7022.0	2604.0	4922.0	4158.0	4008.0	3510.0	2401.5	2470.0	5443.5
ENSMUSG00000031770	Herpud1	chr8:94386438-94386438	1	840.0	399.0	289.0	1687.0	1166.0	527.0	634.5	198.0	1250.5
ENSMUSG00000032212	Sltm	chr9:70542920-70542920	1	590.0	2635.0	1483.0	3804.0	3569.0	2444.0	2126.5	2800.5	3106.0
ENSMUSG00000009630	Ppp2cb	chr8:33599621-33599621	1	2063.0	1605.0	3463.0	1387.0	1706.0	4006.5	3729.0	2669.0	3555.0
ENSMUSG00000028266	Lmo4	chr3:144205220-144205220	-1	1542.0	239.0	871.0	95.0	275.0	1787.0	3180.5	314.0	731.5
ENSMUSG00000042367	Gjb3	chr4:127329161-127329161	-1	52.0	1606.0	180.0	3056.0	2024.0	15.5	1.0	1117.5	169.5
ENSMUSG00000020275	Rel	chr11:23770970-23770970	-1	367.0	341.0	567.0	238.0	275.0	85.0	97.5	425.5	364.5
ENSMUSG00000018398	Sept8	chr11:53519257-53519257	1	1775.0	604.0	4657.0	1139.0	880.0	494.0	590.0	732.5	1363.5
ENSMUSG00000044424	Gm9493	chr19:23619742-23619742	1	13518.0	25007.0	16344.0	17985.0	16969.0	27531.5	21988.5	16969.0	10373.0
ENSMUSG00000023224	Serping1	chr2:84775404-84775404	-1	571.0	128.0	27.0	248.0	253.0	280.5	557.0	108.5	487.5
ENSMUSG00000061232	H2-K1	chr17:34000289-34000289	-1	579.0	613.0	561.0	179.0	283.0	880.5	210.0	552.5	1374.0
ENSMUSG00000068328	Aup1	chr6:83054653-83054653	1	1365.0	1383.0	1504.0	1036.0	802.0	1179.0	854.0	954.0	1282.0
ENSMUSG00000062382	Gm10116	chr13:74406396-74406396	1	31187.0	49317.0	35457.0	35457.0	35457.0	39415.5	69525.5	35457.0	29514.0
ENSMUSG00000068823	Csde1	chr3:103020546-103020546	1	18084.0	13598.0	13598.0	12287.0	11393.0	17632.5	37930.5	16331.5	23658.0
ENSMUSG00000024208	Uqcc2	chr17:27133916-27133916	-1	547.0	1147.0	982.0	342.0	332.0	3300.5	2169.0	856.5	373.0
ENSMUSG00000046753	Ccdc66	chr14:27508460-27508460	-1	269.0	331.0	244.0	527.0	477.0	459.0	224.5	344.5	279.5
ENSMUSG00000036712	Cyld	chr8:88697028-88697028	1	1085.0	1052.0	1110.0	1342.0	1316.0	878.0	987.5	855.0	922.5
ENSMUSG00000058927	Gm10053	chr19:24875686-24875686	1	1189.0	1703.0	7261.0	983.0	993.0	4225.0	2683.0	2347.0	1286.5
ENSMUSG00000059534	Uqcr10	chr11:4704342-4704342	-1	1498.0	2263.0	2247.0	1797.0	1571.0	4904.0	2062.5	2150.5	1129.0
ENSMUSG00000024937	Ehbp1l1	chr19:5726317-5726317	-1	2415.0	112.0	82.0	230.0	128.0	216.0	66.5	130.0	522.5
ENSMUSG00000020668	Kif3c	chr12:3365132-3365132	1	1795.0	802.0	957.0	813.0	810.0	1082.0	4107.0	207.5	779.5
ENSMUSG00000040033	Stat2	chr10:128270576-128270576	1	500.0	797.0	295.0	1358.0	655.0	141.0	566.5	151.0	289.5
ENSMUSG00000094622	Gm3055	chr10:81747503-81747503	-1	282.0	410.0	429.0	121.0	0.0	95.5	270.5	355.5	135.0
ENSMUSG00000032388	Spg21	chr9:65460937-65460937	1	2772.0	1472.0	1195.0	1189.0	1047.0	1470.5	3866.5	1702.5	851.0
ENSMUSG00000075592	Nynrin	chr14:55854036-55854036	1	5181.0	338.0	1252.0	1018.0	826.0	615.0	1550.5	447.5	1512.0
ENSMUSG00000019494	Cops6	chr5:138161071-138161071	1	3059.0	4052.0	3679.0	2595.0	2607.0	4666.0	4172.5	2993.0	2593.0
ENSMUSG00000066407	Gm10263	chr13:73317844-73317844	1	10544.0	15546.0	12235.0	12964.0	13510.0	17258.5	14927.0	14489.0	12528.0
ENSMUSG00000027287	Snap23	chr2:120567671-120567671	1	1331.0	1492.0	1467.0	1083.0	1179.0	822.5	439.0	1333.5	1610.5
ENSMUSG00000037003	Tenc1	chr15:102102988-102102988	1	532.0	148.0	441.0	104.0	94.0	268.5	8.5	116.5	348.0
ENSMUSG00000073427	Gm4924	chr10:82378593-82378593	1	517.0	676.0	539.0	747.0	723.0	1307.0	418.5	641.5	448.0
ENSMUSG00000059713	Rcan3	chr4:135425267-135425267	-1	948.0	546.0	152.0	280.0	323.0	231.0	453.5	547.5	304.0
ENSMUSG00000024856	Cdk2ap2	chr19:4097182-4097182	1	109.0	403.0	580.0	825.0	685.0	557.0	294.5	641.0	209.5
ENSMUSG00000036913	Trim67	chr8:124793092-124793092	1	25.0	22.0	1740.0	11.0	49.0	78.5	2601.5	17.5	10.0
ENSMUSG00000020876	Snx11	chr11:96777531-96777531	-1	63.0	472.0	498.0	405.0	374.0	426.0	900.0	640.0	176.0
ENSMUSG00000034321	Exosc1	chr19:41933314-41933314	-1	134.0	755.0	687.0	521.0	516.0	2447.5	560.5	875.5	399.5
ENSMUSG00000057363	Uxs1	chr1:43827800-43827800	-1	69.0	557.0	624.0	421.0	399.0	580.5	451.5	408.5	541.0
ENSMUSG00000035401	2210018M11Rik	chr7:98656569-98656569	-1	1180.0	1589.0	927.0	1817.0	1794.0	1824.0	1595.5	1407.0	1440.0
ENSMUSG00000032939	Nup93	chr8:94214597-94214597	1	812.0	5401.0	4642.0	6507.0	6168.0	3781.0	1261.5	4288.0	3063.5
ENSMUSG00000027233	Patl2	chr2:122186189-122186189	-1	17.0	407.0	31.0	525.0	300.0	90.5	0.5	66.0	15.0
ENSMUSG00000058569	Tmed9	chr13:55593135-55593135	1	3366.0	2440.0	2823.0	2903.0	2737.0	2236.5	1935.0	3531.0	6184.0
ENSMUSG00000071645	Tut1	chr19:8953850-8953850	1	445.0	1203.0	1296.0	724.0	802.0	1040.5	560.0	1307.5	702.5
ENSMUSG00000047193	Dync2h1	chr9:7184446-7184446	-1	847.0	898.0	816.0	842.0	803.0	657.5	818.0	575.5	884.5
ENSMUSG00000004677	Myo9b	chr8:71272714-71272714	1	1358.0	1719.0	1366.0	2887.0	3302.0	1847.0	1525.5	1822.0	3220.0
ENSMUSG00000021177	Tdp1	chr12:99884537-99884537	1	619.0	1645.0	1464.0	904.0	980.0	1573.5	511.0	1125.0	673.0
ENSMUSG00000036860	Mrpl55	chr11:59202486-59202486	1	131.0	268.0	366.0	175.0	175.0	689.5	295.0	201.0	167.0
ENSMUSG00000020064	Herc4	chr10:63243797-63243797	1	872.0	5215.0	2668.0	4327.0	4214.0	1823.5	871.0	1445.0	718.5
ENSMUSG00000026626	Ppp2r5a	chr1:191397041-191397041	-1	4719.0	2562.0	1399.0	3891.0	3802.0	2067.5	1022.5	2474.0	2060.5
ENSMUSG00000047843	Bri3	chr5:144255234-144255234	1	1351.0	823.0	654.0	287.0	237.0	1653.0	1919.0	747.0	762.5
ENSMUSG00000026987	Baz2b	chr2:60125697-60125697	-1	2604.0	865.0	352.0	1391.0	1022.0	398.0	3249.5	500.0	1369.5
ENSMUSG00000030654	Arl6ip1	chr7:118129625-118129625	-1	9381.0	7736.0	7736.0	8721.0	8566.0	6963.5	6238.5	6572.0	6133.0
ENSMUSG00000074182	Znhit6	chr3:145576208-145576208	1	251.0	936.0	998.0	988.0	858.0	1490.5	369.5	1279.5	475.0
ENSMUSG00000043895	S1pr2	chr9:20976793-20976793	-1	674.0	1108.0	431.0	756.0	863.0	554.5	131.0	534.0	822.5
ENSMUSG00000031839	Hsbp1	chr8:119344538-119344538	1	2027.0	1369.0	1201.0	2506.0	2560.0	2521.5	5627.5	1744.0	2682.0
ENSMUSG00000049521	Cdc42ep1	chr15:78842647-78842647	1	1101.0	62.0	112.0	40.0	89.0	166.0	32.5	25.5	1387.0
ENSMUSG00000069892	9930111J21Rik2	chr11:49051225-49051225	-1	111.0	215.0	135.0	453.0	516.0	325.5	285.5	261.5	148.0
ENSMUSG00000026869	Psmd5	chr2:34870939-34870939	-1	894.0	2355.0	2510.0	3521.0	3127.0	4017.0	2564.0	2411.5	1548.0
ENSMUSG00000045095	Magi1	chr6:94283322-94283322	-1	418.0	422.0	305.0	421.0	307.0	1032.0	798.0	483.5	738.5
ENSMUSG00000042807	Hecw2	chr1:54194048-54194048	-1	335.0	93.0	80.0	70.0	115.0	94.5	684.0	62.5	100.5
ENSMUSG00000029337	Fgf5	chr5:98254184-98254184	1	32.0	33.0	1179.0	0.0	33.0	357.5	56.0	79.5	69.5
ENSMUSG00000041215	Yeats2	chr16:20141063-20141063	1	2345.0	1386.0	2231.0	1545.0	1581.0	1541.0	1568.5	925.0	2004.5
ENSMUSG00000030641	Ddias	chr7:92874213-92874213	-1	894.0	1478.0	1628.0	2242.0	2261.0	2953.0	596.5	2448.0	2034.5
ENSMUSG00000037361	Sf3b6	chr12:4817608-4817608	1	480.0	1365.0	1743.0	1615.0	1658.0	4896.0	4315.5	1488.0	802.0
ENSMUSG00000022353	Mtss1	chr15:59082026-59082026	-1	3730.0	4317.0	917.0	1946.0	2405.0	1711.0	1882.0	2899.0	1963.5
ENSMUSG00000015605	Srf	chr17:46556162-46556162	-1	2325.0	912.0	2685.0	1296.0	1273.0	3126.5	749.0	3756.0	3424.0
ENSMUSG00000095562	Gm21887	chrX:170009659-170009659	1	16.0	64.0	7.0	24.0	24.0	2806.5	1769.0	443.0	381.5
ENSMUSG00000028032	Papss1	chr3:131564768-131564768	1	1611.0	314.0	1169.0	296.0	244.0	359.0	1761.0	430.5	1199.0
ENSMUSG00000029328	Hnrnpdl	chr5:100036068-100036068	-1	3151.0	5957.0	7281.0	6673.0	5861.0	7121.5	9760.5	9006.0	6255.5
ENSMUSG00000044134	Fam109a	chr5:121849028-121849028	1	546.0	235.0	678.0	218.0	220.0	283.0	593.0	337.0	199.5
ENSMUSG00000071014	Ndufb6	chr4:40279421-40279421	-1	572.0	1511.0	1066.0	465.0	551.0	2693.0	2040.0	1542.5	1013.0
ENSMUSG00000020522	Mfap3	chr11:57518664-57518664	1	1748.0	825.0	1568.0	1022.0	1041.0	1366.5	2257.5	723.0	1542.5
ENSMUSG00000015126	Tsr3	chr17:25240170-25240170	1	490.0	668.0	677.0	709.0	882.0	763.5	678.5	757.0	451.0
ENSMUSG00000048661	Lemd3	chr10:120979332-120979332	-1	655.0	568.0	1102.0	390.0	399.0	422.0	296.5	797.0	938.5
ENSMUSG00000046985	Tapt1	chr5:44226606-44226606	-1	592.0	357.0	402.0	337.0	270.0	354.0	601.5	389.0	690.0
ENSMUSG00000042699	Dhx9	chr1:153487608-153487608	-1	3127.0	23658.0	31232.0	14943.0	14569.0	18157.5	17257.0	20708.0	15288.5
ENSMUSG00000069041	Slc25a31	chr3:40708855-40708855	1	89.0	303.0	161.0	287.0	255.0	310.5	19.5	544.5	384.5
ENSMUSG00000004698	Hdac9	chr12:34528889-34528889	-1	2099.0	275.0	295.0	102.0	111.0	382.5	382.5	92.5	269.5
ENSMUSG00000031375	Bgn	chrX:73483602-73483602	1	2000.0	9.0	44.0	11.0	37.0	40.0	6.5	452.5	333.5
ENSMUSG00000030816	Rnf40	chr7:127588698-127588698	1	2583.0	2862.0	2158.0	3153.0	2616.0	1946.5	1409.5	3351.0	2181.0
ENSMUSG00000031683	Lsm6	chr8:78821140-78821140	-1	613.0	912.0	2925.0	1463.0	1418.0	2541.5	1585.5	1330.5	826.0
ENSMUSG00000061048	Cdh3	chr8:106510913-106510913	1	4716.0	238.0	270.0	551.0	500.0	200.5	6.5	662.0	1382.5
ENSMUSG00000021493	Pdlim7	chr13:55513438-55513438	-1	1346.0	1237.0	1401.0	787.0	1368.0	2923.5	874.5	1127.5	5262.0
ENSMUSG00000039414	Heatr5b	chr17:78835381-78835381	-1	1557.0	1030.0	750.0	1398.0	1095.0	485.0	633.0	819.5	1062.0
ENSMUSG00000031592	Pcm1	chr8:41239759-41239759	1	8035.0	5485.0	3738.0	6513.0	6582.0	3741.5	5198.0	3744.5	7225.5
ENSMUSG00000038446	Cdc40	chr10:40883143-40883143	-1	1925.0	1247.0	1685.0	1322.0	1043.0	1054.5	594.5	681.0	431.0
ENSMUSG00000022091	Sorbs3	chr14:70207637-70207637	-1	1578.0	60.0	490.0	127.0	152.0	332.5	45.0	81.0	394.5
ENSMUSG00000035305	Ror1	chr4:100095791-100095791	1	217.0	13.0	208.0	13.0	25.0	252.0	14.0	44.0	561.0
ENSMUSG00000021611	Tert	chr13:73627001-73627001	1	111.0	269.0	174.0	439.0	453.0	81.0	31.0	162.0	86.5
ENSMUSG00000029392	Rilpl1	chr5:124531391-124531391	-1	1045.0	357.0	283.0	217.0	319.0	416.0	246.5	322.0	517.0
ENSMUSG00000091742	Gm5093	chr17:46440099-46440099	-1	1350.0	6868.0	2174.0	3794.0	4186.0	7843.5	3874.0	4632.0	2505.0
ENSMUSG00000094441	Zfp955a	chr17:33255040-33255040	-1	359.0	384.0	370.0	401.0	354.0	403.0	228.0	323.5	186.0
ENSMUSG00000027519	Rab22a	chr2:173659760-173659760	1	1865.0	824.0	928.0	689.0	748.0	846.0	1568.5	1014.5	1638.5
ENSMUSG00000071470	Ccnb1ip1	chr14:50795728-50795728	-1	21.0	292.0	152.0	242.0	225.0	475.5	68.0	627.5	82.0
ENSMUSG00000044447	Dock5	chr14:67933572-67933572	-1	121.0	1166.0	411.0	1720.0	1763.0	475.5	82.5	1096.0	1427.5
ENSMUSG00000024959	Bad	chr19:6941861-6941861	1	238.0	88.0	263.0	63.0	76.0	413.0	524.0	59.0	143.0
ENSMUSG00000048897	Zfp710	chr7:80024814-80024814	1	886.0	4848.0	941.0	3848.0	3736.0	1530.0	718.0	3844.5	1078.5
ENSMUSG00000028684	Urod	chr4:116994413-116994413	-1	1252.0	1490.0	1783.0	1228.0	1048.0	2206.5	1488.5	1419.5	772.5
ENSMUSG00000028048	Gba	chr3:89202928-89202928	1	1201.0	810.0	717.0	745.0	920.0	585.0	670.5	558.0	1324.5
ENSMUSG00000041747	Utp15	chr13:98262992-98262992	-1	700.0	2015.0	3306.0	1498.0	1601.0	2104.5	717.0	2435.0	1102.5
ENSMUSG00000069910	Spdl1	chr11:34833641-34833641	-1	480.0	890.0	564.0	1401.0	1278.0	855.5	179.0	908.5	558.5
ENSMUSG00000040331	Nsmce4a	chr7:130547381-130547381	-1	2553.0	3094.0	2910.0	3761.0	2925.0	3881.5	2341.0	3034.0	2064.0
ENSMUSG00000031774	Fam192a	chr8:94601726-94601726	-1	828.0	1091.0	1648.0	2103.0	2145.0	1432.5	1893.5	1618.5	870.5
ENSMUSG00000039530	Tusc3	chr8:39005867-39005867	1	1798.0	689.0	725.0	485.0	470.0	1221.5	3007.0	660.5	1055.0
ENSMUSG00000035873	Pawr	chr10:108332189-108332189	1	1291.0	1268.0	468.0	909.0	1025.0	682.5	175.0	843.0	2745.5
ENSMUSG00000031808	Slc27a1	chr8:71568927-71568927	1	455.0	297.0	78.0	198.0	204.0	161.5	113.0	417.5	294.5
ENSMUSG00000016386	Mpped2	chr2:106693269-106693269	1	1757.0	56.0	66.0	37.0	29.0	185.0	525.5	53.5	142.5
ENSMUSG00000019433	Gipc1	chr8:83652678-83652678	1	1917.0	3175.0	1689.0	2004.0	1968.0	2640.5	2884.0	1751.5	1483.0
ENSMUSG00000069755	Zfp125	chr12:20900867-20900867	-1	443.0	847.0	778.0	1356.0	1405.0	1009.5	552.5	1035.0	612.0
ENSMUSG00000039456	Morc3	chr16:93832121-93832121	1	1128.0	3185.0	1883.0	4203.0	3891.0	1839.0	590.5	4219.0	1406.0
ENSMUSG00000064210	Ano6	chr15:95790843-95790843	1	2489.0	1022.0	678.0	1296.0	1373.0	688.5	3012.0	1211.5	3479.5
ENSMUSG00000024665	Fads2	chr19:10101503-10101503	-1	1525.0	203.0	3801.0	396.0	179.0	1630.5	2555.5	585.5	1693.5
ENSMUSG00000021669	Col4a3bp	chr13:96542618-96542618	1	1875.0	1634.0	2037.0	1326.0	1413.0	1026.0	749.5	1776.5	2087.5
ENSMUSG00000029389	Ddx55	chr5:124552864-124552864	1	152.0	501.0	472.0	478.0	600.0	491.0	474.5	893.0	551.5
ENSMUSG00000033712	Ccar2	chr14:70153811-70153811	-1	2428.0	1095.0	1363.0	1387.0	1295.0	1571.5	3936.5	1449.5	1877.0
ENSMUSG00000006736	Tspan31	chr10:127070261-127070261	-1	1695.0	1333.0	1801.0	825.0	832.0	1350.0	1437.0	1049.5	1424.5
ENSMUSG00000036678	Aaas	chr15:102350759-102350759	-1	1383.0	2241.0	2433.0	2995.0	2909.0	2498.5	492.0	2506.0	2277.0
ENSMUSG00000071662	Polr2g	chr19:8798557-8798557	-1	2240.0	2318.0	2368.0	1638.0	1362.0	3406.0	1994.0	1788.0	1101.0
ENSMUSG00000031807	Pgls	chr8:71592176-71592176	1	942.0	1161.0	821.0	783.0	938.0	3144.0	2434.0	1175.0	1332.0
ENSMUSG00000033106	Slc7a6os	chr8:106210933-106210933	-1	210.0	628.0	492.0	1258.0	1060.0	601.5	566.5	993.0	536.5
ENSMUSG00000063273	Naa15	chr3:51415148-51415148	1	4011.0	5098.0	8453.0	5800.0	6174.0	5812.5	4647.5	8335.0	8085.0
ENSMUSG00000002342	Tmem161a	chr8:70172356-70172356	1	2167.0	891.0	460.0	666.0	736.0	569.5	503.0	521.5	857.5
ENSMUSG00000026288	Inpp5d	chr1:87620312-87620312	1	85.0	3840.0	418.0	4279.0	3709.0	667.0	5.0	1718.5	240.0
ENSMUSG00000010205	Raver1	chr9:21091988-21091988	-1	2206.0	3458.0	4106.0	2139.0	2114.0	4284.0	2022.5	3852.0	2938.0
ENSMUSG00000000278	Scpep1	chr11:88955465-88955465	-1	6569.0	7639.0	2069.0	4641.0	3732.0	1359.5	405.5	3856.5	4259.0
ENSMUSG00000038773	Kdm3b	chr18:34777008-34777008	1	3319.0	5273.0	2390.0	4340.0	3903.0	1555.0	1726.0	4137.5	2213.5
ENSMUSG00000046711	Hmga1	chr17:27556620-27556620	1	3110.0	6079.0	8807.0	2890.0	3033.0	6252.0	961.5	4289.0	825.5
ENSMUSG00000042978	Sbk1	chr7:126272619-126272619	1	1161.0	1711.0	874.0	1377.0	1316.0	2465.5	12565.5	2053.0	1300.0
ENSMUSG00000030138	Bms1	chr6:118419417-118419417	-1	1535.0	3780.0	4261.0	4615.0	5159.0	2793.5	1033.0	4149.5	3470.0
ENSMUSG00000002102	Psmc3	chr2:91054009-91054009	1	3456.0	6805.0	8301.0	6735.0	6406.0	8890.5	7078.5	5549.0	5819.0
ENSMUSG00000021745	Ptprg	chr14:11553532-11553532	1	1392.0	831.0	1149.0	973.0	1101.0	1038.5	681.0	630.5	3216.5
ENSMUSG00000000365	Rnf17	chr14:56402697-56402697	1	315.0	1551.0	524.0	2733.0	2291.0	2004.5	91.5	2155.5	1031.0
ENSMUSG00000026814	Eng	chr2:32646595-32646595	1	1586.0	915.0	436.0	1671.0	1166.0	651.0	6.5	1318.0	1475.5
ENSMUSG00000037890	Wdr19	chr5:65199696-65199696	1	1169.0	348.0	200.0	437.0	315.0	126.5	184.5	216.5	215.5
ENSMUSG00000058672	Tubb2a	chr13:34078008-34078008	-1	465.0	1373.0	204.0	2764.0	1610.0	2276.5	26695.5	1790.5	1240.5
ENSMUSG00000033307	Mif	chr10:75860250-75860250	-1	10928.0	8987.0	8311.0	9558.0	8704.0	14239.5	11461.0	14514.0	8550.0
ENSMUSG00000037646	Vps13b	chr15:35371546-35371546	1	2327.0	1849.0	1160.0	2957.0	2935.0	957.0	697.5	1339.0	1654.5
ENSMUSG00000037470	Uggt1	chr1:36244305-36244305	-1	3402.0	4094.0	3336.0	4413.0	4294.0	1872.0	2181.0	3239.0	6719.5
ENSMUSG00000027999	Pla2g12a	chr3:129878622-129878622	1	677.0	391.0	386.0	151.0	185.0	1237.5	138.5	613.0	316.5
ENSMUSG00000028059	Arhgef2	chr3:88607454-88607454	1	4305.0	3516.0	2115.0	2176.0	1799.0	2077.0	3537.0	1642.0	2573.5
ENSMUSG00000048373	Fgfbp1	chr5:43981762-43981762	-1	15.0	34.0	88.0	105.0	347.0	517.5	0.0	418.0	78.5
ENSMUSG00000024614	Tmx3	chr18:90510154-90510154	1	1887.0	1794.0	2191.0	1111.0	1170.0	1689.5	1312.0	1778.0	2076.5
ENSMUSG00000043091	Tuba1c	chr15:99029891-99029891	1	7826.0	10548.0	13951.0	8801.0	8417.0	12738.5	9591.0	9739.0	8014.5
ENSMUSG00000075511	1700001L05Rik	chr15:83367282-83367282	-1	83.0	178.0	64.0	511.0	502.0	183.5	14.5	255.5	64.0
ENSMUSG00000030104	Edem1	chr6:108828641-108828641	1	948.0	1111.0	2620.0	1322.0	1589.0	975.0	330.0	1680.5	3502.0
ENSMUSG00000042406	Atf4	chr15:80255184-80255184	1	3047.0	10379.0	5763.0	9143.0	7343.0	6243.0	4334.5	2936.5	3899.0
ENSMUSG00000024588	Fech	chr18:64489066-64489066	-1	1030.0	642.0	661.0	677.0	629.0	738.5	348.0	394.5	588.0
ENSMUSG00000047881	Rell1	chr5:63968905-63968905	-1	653.0	753.0	496.0	636.0	679.0	303.5	269.5	1486.5	1219.0
ENSMUSG00000028134	Ptbp2	chr3:119783388-119783388	-1	3608.0	1216.0	3078.0	947.0	783.0	2943.0	8868.0	1250.0	1989.0
ENSMUSG00000038859	Baiap2l1	chr5:144358112-144358112	-1	682.0	60.0	124.0	69.0	82.0	223.5	21.0	66.0	640.0
ENSMUSG00000057278	Snrpg	chr6:86371583-86371583	1	389.0	1464.0	1024.0	399.0	535.0	5530.5	2698.0	2862.5	2292.5
ENSMUSG00000022476	Polr3h	chr15:81926213-81926213	-1	132.0	621.0	1350.0	334.0	663.0	929.0	310.0	1034.0	427.5
ENSMUSG00000031661	Nkd1	chr8:88521344-88521344	1	825.0	33.0	805.0	14.0	16.0	124.5	116.0	10.5	164.0
ENSMUSG00000031805	Jak3	chr8:71676296-71676296	1	628.0	664.0	99.0	901.0	627.0	51.0	38.0	830.0	183.5
ENSMUSG00000042439	Zfp532	chr18:65580230-65580230	1	2625.0	2874.0	821.0	2439.0	3529.0	1245.0	2102.0	1906.5	1277.0
ENSMUSG00000032854	Ugt8a	chr3:125938550-125938550	-1	72.0	461.0	459.0	311.0	312.0	591.0	256.0	447.0	324.5
ENSMUSG00000036291	Ap5m1	chr14:49066495-49066495	1	581.0	725.0	748.0	764.0	753.0	742.5	714.5	763.5	686.5
ENSMUSG00000045629	Sh3tc2	chr18:61953075-61953075	1	29.0	84.0	27.0	109.0	137.0	8.5	4.5	26.0	489.0
ENSMUSG00000028799	Zfp362	chr4:128806045-128806045	-1	2244.0	44.0	627.0	80.0	77.0	370.5	1642.5	18.5	1355.0
ENSMUSG00000031563	Wwc2	chr8:47990543-47990543	-1	4448.0	2732.0	1812.0	2552.0	2685.0	1191.5	524.5	1085.5	3809.5
ENSMUSG00000031787	Katnb1	chr8:95081201-95081201	1	350.0	1010.0	812.0	1016.0	821.0	741.0	653.0	1171.0	563.0
ENSMUSG00000035215	Lsm7	chr10:80855209-80855209	-1	112.0	248.0	778.0	726.0	477.0	3854.0	1207.0	200.0	84.5
ENSMUSG00000034675	Dbn1	chr13:55488111-55488111	-1	624.0	1247.0	1865.0	462.0	550.0	2926.0	11450.0	528.5	3856.5
ENSMUSG00000030532	Hddc3	chr7:80343137-80343137	1	436.0	93.0	134.0	95.0	60.0	367.5	822.5	35.5	92.0
ENSMUSG00000035776	Cd99l2	chrX:71492849-71492849	-1	2153.0	150.0	309.0	212.0	220.0	248.0	2971.0	103.0	465.0
ENSMUSG00000045435	Tmem60	chr5:20882191-20882191	1	422.0	198.0	319.0	143.0	105.0	568.0	350.0	164.5	146.0
ENSMUSG00000025280	Polr3a	chr14:24487046-24487046	-1	833.0	1365.0	1413.0	1382.0	1436.0	816.5	402.0	1430.0	1085.5
ENSMUSG00000028106	Rprd2	chr3:95818953-95818953	-1	1623.0	1067.0	1268.0	1384.0	1295.0	1039.5	746.0	1645.5	1000.5
ENSMUSG00000050668	Gpatch11	chr17:78835516-78835516	1	321.0	232.0	235.0	295.0	304.0	332.5	694.0	406.5	244.5
ENSMUSG00000041438	Cirh1a	chr8:106893640-106893640	1	1118.0	3684.0	4856.0	4448.0	4826.0	6177.0	1049.5	5225.5	2519.0
ENSMUSG00000013539	Tango2	chr16:18324450-18324450	-1	125.0	211.0	174.0	1059.0	1486.0	3076.0	1038.0	259.5	174.5
ENSMUSG00000015501	Hivep2	chr10:13966075-13966075	1	634.0	130.0	212.0	128.0	143.0	277.5	573.5	160.5	720.5
ENSMUSG00000034647	Ankrd12	chr17:66077046-66077046	-1	567.0	457.0	156.0	787.0	678.0	410.5	2105.0	323.0	581.5
ENSMUSG00000021109	Hif1a	chr12:73901375-73901375	1	10284.0	4873.0	7661.0	3696.0	3626.0	4919.5	4845.5	4226.5	5841.5
ENSMUSG00000037570	Mcrs1	chr15:99251961-99251961	-1	1962.0	3424.0	3990.0	2925.0	2537.0	3681.5	3534.0	2744.5	1715.0
ENSMUSG00000026627	Tmem206	chr1:191325912-191325912	1	482.0	147.0	85.0	107.0	93.0	152.0	378.5	62.0	221.5
ENSMUSG00000057469	E2f6	chr12:16810965-16810965	1	1472.0	393.0	1853.0	675.0	678.0	1148.0	2064.5	507.0	916.0
ENSMUSG00000043681	Fam25c	chr14:34355433-34355433	-1	2.0	324.0	2.0	225.0	143.0	146.0	2.5	554.0	25.5
ENSMUSG00000041187	Prkd2	chr7:16843065-16843065	1	570.0	99.0	471.0	217.0	286.0	141.5	94.5	137.5	400.5
ENSMUSG00000058966	Fam57b	chr7:126816885-126816885	1	6.0	24.0	45.0	58.0	26.0	215.0	2219.5	13.5	4.0
ENSMUSG00000016541	Atxn10	chr15:85336381-85336381	1	10576.0	6445.0	6572.0	6168.0	8026.0	5765.0	11880.0	6233.5	10948.0
ENSMUSG00000024098	Twsg1	chr17:65951187-65951187	-1	1797.0	1722.0	2909.0	1438.0	1391.0	1068.5	1596.0	1376.5	3180.0
ENSMUSG00000031983	2310022B05Rik	chr8:124663369-124663369	-1	4819.0	541.0	1739.0	1273.0	958.0	768.5	1051.5	624.0	1824.0
ENSMUSG00000037791	Phf12	chr11:77982754-77982754	1	1243.0	2011.0	953.0	1542.0	1645.0	1452.0	1476.0	2903.0	2318.0
ENSMUSG00000024442	0610009O20Rik	chr18:38250249-38250249	1	2329.0	1260.0	1304.0	1161.0	951.0	1401.5	782.5	713.0	879.5
ENSMUSG00000028156	Eif4e	chr3:138526191-138526191	1	2885.0	4884.0	8965.0	3894.0	4628.0	9072.0	6478.5	5980.0	4264.0
ENSMUSG00000047153	Khnyn	chr14:55884969-55884969	1	2714.0	252.0	683.0	724.0	642.0	236.5	246.0	496.5	813.0
ENSMUSG00000030064	Frmd4b	chr6:97617541-97617541	-1	4333.0	98.0	520.0	326.0	193.0	282.5	2324.5	178.0	425.0
